VARIANT	Orientation	Window to Wall Ratio	Shading Active	Incident Total Radiation on Window	Total radiation transmitted through Window	Total internal gain	Total heating demand	Total cooling demand	Total Energy Demand	DF (>3%)	sDA (300lux, 50%)
E_15	East	15	1341	2230.8	241.2	40.8	2.1	13.2	15.3	10	11
E_30	East	30	1341	4461.7	482.4	29.6	5.7	9.1	14.8	28	39
E_40	East	40	1341	5948.9	643.2	26.4	7.7	9.4	17.1	43	57
E_45	East	45	1341	6692.5	723.6	25.9	8.5	10.1	18.6	51	66
E_50	East	50	1341	7436.1	804.0	25.5	9.2	10.9	20.1	54	78
E_55	East	55	1341	8179.7	884.4	25.1	9.9	11.7	21.6	60	88
E_60	East	60	1341	8923.3	964.8	24.6	10.8	12.5	23.3	66	94
W_15	West	15	1210	2262.7	260.9	44.4	1.9	16.7	18.6	10	15
W_30	West	30	1210	4525.3	521.8	34.6	3.8	12.1	15.9	28	45
W_40	West	40	1210	6033.8	695.7	30.1	5.8	11.8	17.5	43	66
W_45	West	45	1210	6788.0	782.7	28.9	6.6	12.2	18.8	51	79
W_50	West	50	1210	7542.2	869.6	28.1	7.4	13.0	20.4	54	90
W_55	West	55	1210	8296.4	956.6	27.3	8.3	13.8	22.1	60	94
W_60	West	60	1210	9050.6	1043.6	27.0	9.0	14.8	23.8	66	98
S_15	South	15	1823	2750.3	226.0	44.7	2.0	16.6	18.6	10	12
S_30	South	30	1823	5500.6	452.1	36.9	3.9	12.9	16.8	28	35
S_40	South	40	1823	7334.1	602.8	31.8	5.6	10.7	16.3	43	56
S_45	South	45	1823	8250.9	678.1	30.4	6.2	10.4	16.6	51	65
S_50	South	50	1823	9167.7	753.5	28.6	7.0	10.0	17.0	54	73
S_55	South	55	1823	10084.4	828.8	27.7	7.7	10.1	17.9	60	80
S_60	South	60	1823	11001.2	904.2	26.9	8.3	10.3	18.6	66	96
N_15	North	15	201	1148.1	261.0	38.8	2.1	10.9	13.0	10	16
N_30	North	30	201	2296.3	522.1	30.0	5.4	9.6	15.0	28	56
N_40	North	40	201	3061.7	696.1	27.5	7.4	11.0	18.4	43	80
N_45	North	45	201	3444.4	783.1	26.6	8.5	12.1	20.5	51	92
N_50	North	50	201	3827.1	870.1	26.3	9.2	13.2	22.4	54	100
N_55	North	55	201	4209.8	957.1	25.9	10.0	14.3	24.3	60	100
N_60	North	60	201	4592.5	1044.1	25.6	10.7	15.5	26.1	66	100
N_15_NoShade	North	15	0	1148.1	282.1	37.7	2.1	10.4	12.5	10	19
N_30_NoShade	North	30	0	2296.3	564.3	29.2	5.4	10.2	15.6	28	59
N_40_NoShade	North	40	0	3061.7	752.4	27.5	7.3	12.6	20.0	43	87
N_45_NoShade	North	45	0	3444.4	846.4	26.7	8.4	13.9	22.3	51	96
N_50_NoShade	North	50	0	3827.1	940.4	26.2	9.2	15.2	24.4	54	100
N_55_NoShade	North	55	0	4209.8	1034.5	25.8	10.0	16.6	26.6	60	100
N_60_NoShade	North	60	0	4592.5	1128.5	25.6	10.7	18.0	28.7	66	100
